Date,Username,Tweet,label
2022-08-06 01:52:33+00:00,NaslurJepara,@PendisKemenag Bisa didapatkan di mana min bukunya?,
2022-08-04 07:22:06+00:00,Dhimasnurw,"@PendisKemenag Untuk bop tpq , kapa cairnya...",
2022-08-03 15:55:33+00:00,Dhimasnurw,"@PendisKemenag Assalamu'alaikum, mau tanya tentang bop tpq ... Kapan cairnya, udah sebulan molor dari timeline",
2022-08-02 13:16:57+00:00,maarifimogiri,@PendisKemenag Cocok.,
2022-08-02 12:48:39+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR,
2022-08-02 12:48:16+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR,
2022-08-02 12:48:05+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR,
2022-08-02 12:47:43+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR,
2022-08-01 05:33:18+00:00,tibylin,"@PendisKemenag Halah, bos reguler aj dipangkas",
2022-08-01 05:31:53+00:00,FrLCnDLuV,"@PendisKemenag Ahh Thx so much admin @PendisKemenag , tulisan ku yg ga seberapa bagus itu akhirnya muncul di TL Tweeter 🙏",
2022-07-30 03:45:44+00:00,IgarNurdiansah2,@PendisKemenag Pak SIMPATIKA down kah?,
2022-07-29 08:50:44+00:00,tibylin,@PendisKemenag Hadeeuh apa lg ini....?,
2022-07-28 04:37:54+00:00,Rizkifernanda1R,@PendisKemenag Pembagian zona berdasrkan apa min ?,
2022-07-28 03:41:02+00:00,tryhandoko123,@PendisKemenag PPPK guru madrasah dipikirkan pak,
2022-07-23 13:55:52+00:00,Man1florestimur,@PendisKemenag Sukses selalu,
2022-07-22 16:14:45+00:00,kemal_s03,"@PendisKemenag Mau bertanya NSM tidak muncul , pas membuat akun emis, langkah yang tepat untuk mepercata nya apa ya ?",
2022-07-21 21:20:57+00:00,PoncoIshak,@PendisKemenag Alamat link daftarnya admin.,
2022-07-14 13:15:20+00:00,solehalfaizin,@PendisKemenag Gak diimbangi dengan kesejahteraan guru. GBPNS infonya akhir Juni sampe sekarang gak ada kabar,
2022-07-10 15:32:11+00:00,Empok_lina,@PendisKemenag Insentif GBPNS gmn kbr???,
2022-07-08 23:20:10+00:00,ParningotanAri1,@PendisKemenag https://t.co/YvL2jj0zyF,
2022-07-08 17:29:25+00:00,BAMBANGMURYAN22,@PendisKemenag Mana link untuk daftar nya...?,
2022-07-08 13:42:10+00:00,nunnajib982,"@PendisKemenag Min, nggak ada beasiswa guru Nahwu Shorof ya? 😅",
2022-07-06 10:02:40+00:00,ParningotanAri1,@PendisKemenag https://t.co/Vsn9wuFVGR,
2022-07-06 07:51:30+00:00,AnnuarGunawan,"@PendisKemenag السلام عليكم ورحمة الله وبركاتة
Mohon maaf mengganggu.. Izin bertanya bapak/ibu admin.. 
Apakah  blangko ijazah untuk MA sudah bisa dipastikan kapan selesai dcetak nya..? Soalnya beberapa siswa membutuhkannya untu",
2022-07-06 07:34:48+00:00,tibylin,@PendisKemenag Yes,
2022-07-05 23:51:02+00:00,fokus_belajar,@PendisKemenag Ditunggu hasil pengumumannya min....,
